"purchase_id","alias","created_at","purchase_date"
"40151","c29e539d-e9b6-4265-ac19-0c3cc7341e0f","2019-09-02 00:01:32.046769+06","2019-09-01 06:00:00+06"
"40152","d36b036e-421b-4bc3-a94c-b7a658fef4ab","2019-09-02 01:50:24.989978+06","2019-09-02 06:00:00+06"
"40153","96979372-d8a9-4a91-8819-1f400637f3b6","2019-09-02 04:22:24.92221+06","2019-09-02 06:00:00+06"
"40154","42ec72e4-561e-4915-9689-87ef8151bfb1","2019-09-02 04:24:21.866671+06","2019-09-02 06:00:00+06"
"40155","2788595e-533a-4f10-9ab0-c38679a74a68","2019-09-02 04:26:18.875025+06","2019-09-02 06:00:00+06"
"40156","a496859d-b430-46e5-95f8-770eb8ee9760","2019-09-02 04:27:35.440105+06","2019-09-02 06:00:00+06"
"40157","060d754d-e3d3-4028-922e-8dcdda6a8171","2019-09-02 04:33:12.074629+06","2019-09-02 06:00:00+06"
"40158","d2e30407-a45e-4cee-80e3-da1fb2a08df1","2019-09-02 04:35:52.35116+06","2019-09-02 06:00:00+06"
"40159","07b13c66-48f2-488d-8999-f298830ca6c6","2019-09-02 04:37:28.115961+06","2019-09-02 06:00:00+06"
"40160","b5e1d558-cbc6-40ad-90b0-833918baba50","2019-09-02 04:44:07.458871+06","2019-09-02 06:00:00+06"
"40161","4598f094-ce2e-418c-94b5-804957cdb8e5","2019-09-02 04:46:10.361339+06","2019-09-02 06:00:00+06"
"40162","6054c5dc-479e-4ac7-b112-4f61d7769283","2019-09-02 04:54:39.28739+06","2019-09-02 06:00:00+06"
"40163","d4116885-5af5-4bb5-8fa8-aeebe7d5bc0b","2019-09-02 04:58:16.704524+06","2019-09-02 06:00:00+06"
"40164","d467561e-8f18-4659-a4b9-23f141237ae3","2019-09-02 04:59:51.719838+06","2019-09-02 06:00:00+06"
"40165","fee18442-6b95-4c58-af46-fc2c3afcbfd9","2019-09-02 05:01:04.9798+06","2019-09-02 06:00:00+06"
"40166","b27122e2-f64d-4bf0-82aa-4c5cd01216ee","2019-09-02 05:09:44.435995+06","2019-09-02 06:00:00+06"
"40167","86eb038b-9e3b-49ca-9767-c02060b2daed","2019-09-02 08:01:38.956971+06","2019-09-02 06:00:00+06"
"40168","c8052577-5a17-4cf9-844b-bd7ef096f1da","2019-09-02 09:32:20.206417+06","2019-09-02 06:00:00+06"
"40169","9e9aa627-d7c3-4f18-bb93-e6f754b5eb7b","2019-09-02 09:43:41.056701+06","2019-09-02 06:00:00+06"
"40170","7562f851-eb0a-4651-9a1d-f4580bd617dc","2019-09-02 09:44:51.596198+06","2019-08-29 06:00:00+06"
"40171","6b8b7ec7-7e30-4ca1-9917-2e7d1992cf86","2019-09-02 09:46:21.377531+06","2019-08-04 06:00:00+06"
"40172","b8937531-3f45-4147-9615-432b2630a681","2019-09-02 09:46:43.345183+06","2019-09-01 06:00:00+06"
"40173","126bb4f7-5e23-4d2b-9135-4e90bd4621bd","2019-09-02 09:49:29.039876+06","2019-08-27 06:00:00+06"
"40174","075b2f43-c96e-40a3-a235-ffa9d2be1689","2019-09-02 09:49:45.040558+06","2019-08-31 06:00:00+06"
"40175","4a532465-ba62-43a1-8774-52363c0f1607","2019-09-02 10:08:23.741507+06","2019-08-26 06:00:00+06"
"40176","8d605d98-bd6b-4b35-8622-0e248eea2e9f","2019-09-02 10:13:17.032222+06","2019-09-02 06:00:00+06"
"40177","b1d2f4de-7c15-4f18-9296-a254a8790013","2019-09-02 10:16:13.988159+06","2019-08-26 06:00:00+06"
"40178","deac87d3-c063-42bd-aeda-09b62a72f868","2019-09-02 10:20:45.329879+06","2019-09-02 06:00:00+06"
"40179","3d9169cb-4341-495d-925d-73fce673d8b5","2019-09-02 10:49:55.018678+06","2019-08-26 06:00:00+06"
"40180","1dfbf7cd-85a5-44e2-aa2d-fa0e9143b79a","2019-09-02 10:59:45.212046+06","2019-08-26 06:00:00+06"
"40181","76b7f2f8-440d-4115-a008-6766133ae55c","2019-09-02 11:06:53.704643+06","2019-09-01 06:00:00+06"
"40182","8792d99a-46ca-4d3c-b633-ed95d04662ef","2019-09-02 11:12:40.840656+06","2019-08-26 06:00:00+06"
"40183","9e48405f-51bf-44da-a481-852f92fb8191","2019-09-02 11:22:10.495559+06","2019-09-02 06:00:00+06"
"40184","96aee367-51ce-424f-b848-33d31c5b16f1","2019-09-02 11:22:37.708829+06","2019-09-02 06:00:00+06"
"40185","8b959e67-9bd0-45ed-93b3-310a0a603d48","2019-09-02 11:22:55.712227+06","2019-08-26 06:00:00+06"
"40186","56aa97ea-1817-4993-ba20-6393571e8f1c","2019-09-02 11:23:12.644593+06","2019-09-02 06:00:00+06"
"40187","de3c92af-2a68-4e43-97b9-2320a522a99e","2019-09-02 11:24:53.261361+06","2019-09-02 06:00:00+06"
"40188","306742a5-c61c-4c39-8f97-91fd384aa051","2019-09-02 11:36:59.341429+06","2019-09-02 06:00:00+06"
"40189","30fff6de-d2c8-47b2-8f3c-e7a4156b6a0f","2019-09-02 11:38:05.208307+06","2019-08-26 06:00:00+06"
"40190","26b1f2e2-f8a8-48f8-af6a-95696b3ddea0","2019-09-02 11:41:27.097514+06","2019-08-26 06:00:00+06"
"40191","6df7ac68-56d9-411f-b2d1-a1bd0242255e","2019-09-02 11:41:39.478991+06","2019-09-02 06:00:00+06"
"40192","ab6c61bf-1dc3-44c9-849f-88d92b587ffc","2019-09-02 11:46:19.226574+06","2019-09-02 06:00:00+06"
"40193","e5c382ef-1cb7-4ea5-93b4-34ee8b510c3b","2019-09-02 11:52:19.275031+06","2019-09-02 06:00:00+06"
"40194","d92026af-6d28-4532-8a46-b9c4e40299ae","2019-09-02 11:53:17.080549+06","2019-08-26 06:00:00+06"
"40195","c68d91d4-3edc-4494-a099-598afcea853b","2019-09-02 11:56:04.96914+06","2019-09-02 06:00:00+06"
"40196","bc70c215-0205-4f14-843c-432b93ce3154","2019-09-02 11:58:25.15432+06","2019-09-02 06:00:00+06"
"40197","d0db7e7c-9bcc-4006-8f04-e46c363cc21f","2019-09-02 11:58:48.005248+06","2019-09-02 06:00:00+06"
"40198","a107bff6-365e-435d-a23a-8b95f6a95ccc","2019-09-02 12:02:22.851403+06","2019-09-02 06:00:00+06"
"40199","1ddc6631-8be6-448d-9157-1e6fe2e13cec","2019-09-02 12:05:35.07115+06","2019-08-26 06:00:00+06"
"40200","7ef88983-6aee-47d5-a83b-d26d9336eaf0","2019-09-02 12:06:45.39671+06","2019-09-02 06:00:00+06"
"40201","d45c7bc8-b694-4e9e-bbb9-902f89de2230","2019-09-02 12:07:03.5435+06","2019-09-02 06:00:00+06"
"40202","cc3271d6-7256-405b-9894-6808a13190b2","2019-09-02 12:08:53.174523+06","2019-09-02 06:00:00+06"
"40203","45a6f3bb-c41b-4f76-879b-12dd959a3733","2019-09-02 12:12:24.543333+06","2019-08-26 06:00:00+06"
"40204","ce03b362-398c-40c9-a671-89b28eecf8cb","2019-09-02 12:16:54.207048+06","2019-09-02 06:00:00+06"
"40205","25a6683d-c05d-425c-80ab-8cea9c94f894","2019-09-02 12:25:41.843913+06","2019-09-02 06:00:00+06"
"40206","6eb9ea0f-2e3c-4e6b-bcdf-ef1c05f28749","2019-09-02 12:28:28.062627+06","2019-09-02 06:00:00+06"
"40207","721d0d26-6816-4840-ba3b-6d8dbe1bbe73","2019-09-02 12:31:19.81205+06","2019-08-28 06:00:00+06"
"40208","ecb83d8f-56dd-47a2-bb5b-1fe376baf113","2019-09-02 12:32:37.11746+06","2019-09-02 06:00:00+06"
"40209","a02fcc4d-a6ce-4516-8aba-386561b47816","2019-09-02 12:36:31.664549+06","2019-09-02 06:00:00+06"
"40210","933b4fa3-860b-4627-a37b-ba81f03374e4","2019-09-02 12:36:48.37756+06","2019-09-02 06:00:00+06"
"40211","d556de04-446e-42c2-8a21-d46bfa6e3769","2019-09-02 12:37:33.89429+06","2019-09-02 06:00:00+06"
"40212","269f0fc1-e6d7-4047-8804-e6b6e2c91b3f","2019-09-02 12:48:13.906525+06","2019-08-28 06:00:00+06"
"40213","5c73c630-08e6-4602-a1b0-1211b30e922d","2019-09-02 12:53:12.251131+06","2019-09-02 06:00:00+06"
"40214","b64789db-b32d-482f-aa04-236a9305ab9d","2019-09-02 12:56:53.585302+06","2019-09-02 06:00:00+06"
"40215","16e0e62f-c193-48f4-a3c5-11da6d2adf79","2019-09-02 12:57:04.941821+06","2019-09-02 06:00:00+06"
"40216","079863f2-cc48-416b-8e15-0f6b50cfa627","2019-09-02 12:58:40.598661+06","2019-09-02 06:00:00+06"
"40217","1206b254-0a18-4d19-8617-1f8a87ab2b2b","2019-09-02 13:01:31.507735+06","2019-09-02 06:00:00+06"
"40218","a93e85c1-606e-4402-b707-bc5c7da9e55b","2019-09-02 13:01:40.410264+06","2019-08-26 06:00:00+06"
"40219","d75c5181-bff0-4a19-99a4-795694899664","2019-09-02 13:09:47.506658+06","2019-09-02 06:00:00+06"
"40220","4ab01783-d7b7-4b31-b65c-0657acca4653","2019-09-02 13:11:05.135486+06","2019-09-02 06:00:00+06"
"40221","ec12c1e5-ae13-4a82-8893-236ac739dea7","2019-09-02 13:15:45.581508+06","2019-09-02 06:00:00+06"
"40222","25a9b4d6-3d78-40cc-bd0a-dbd66f658408","2019-09-02 13:24:24.363889+06","2019-09-02 06:00:00+06"
"40223","55f2a7fc-6d1b-48e0-9051-e787ec3e6837","2019-09-02 13:25:34.018586+06","2019-08-28 06:00:00+06"
"40224","63c7fbbc-add7-44fd-bdf1-434e8a2d862e","2019-09-02 13:30:58.05721+06","2019-09-02 06:00:00+06"
"40225","cec5a5c6-b067-4d68-a98a-9d9a071ad7d6","2019-09-02 13:34:52.505889+06","2019-09-02 06:00:00+06"
"40226","e2719110-30f2-4167-89e0-2b1bf8fde146","2019-09-02 13:38:53.792295+06","2019-09-02 06:00:00+06"
"40227","8bd29052-1781-471f-a9f9-ecd6cedd8c12","2019-09-02 13:41:35.782789+06","2019-09-02 06:00:00+06"
"40228","ac2ae1f3-0d10-4576-8586-3bbb4f11cb3f","2019-09-02 13:41:44.086844+06","2019-09-02 06:00:00+06"
"40229","8eda5f86-af9a-4978-8115-5f3cf2e7c95e","2019-09-02 13:42:24.090207+06","2019-09-02 06:00:00+06"
"40230","955b3030-1e37-4797-a6a4-2a9cd72daaf3","2019-09-02 13:46:23.375796+06","2019-09-02 06:00:00+06"
"40231","3680b575-87e6-4b02-9039-b7128eac0e6c","2019-09-02 13:48:14.130446+06","2019-09-02 06:00:00+06"
"40232","9f50387b-d0cb-4b19-8807-c0b82042874d","2019-09-02 13:48:47.686502+06","2019-09-02 06:00:00+06"
"40233","a1a8b061-e033-48c5-90f0-7482b1043408","2019-09-02 13:52:25.464581+06","2019-09-02 06:00:00+06"
"40234","dadfb1e5-83c0-43e4-a861-71097f1b77c1","2019-09-02 13:53:40.237047+06","2019-09-02 06:00:00+06"
"40235","9841deba-9b2f-4185-a751-38c5a7a3cc0c","2019-09-02 13:54:04.274853+06","2019-08-28 06:00:00+06"
"40236","ae8f3f29-bc32-4590-bb63-529552e0f5c0","2019-09-02 13:58:24.530182+06","2019-09-02 06:00:00+06"
"40237","e5808edd-9097-4603-9722-53fa19d9b203","2019-09-02 13:59:00.999862+06","2019-09-02 06:00:00+06"
"40238","5558c256-67d9-40f8-8d09-eceb2b2a9443","2019-09-02 14:00:26.007074+06","2019-09-02 06:00:00+06"
"40239","7d998a82-a780-4d93-a217-7c50e9a7b6f5","2019-09-02 14:01:17.05398+06","2019-09-02 06:00:00+06"
"40240","cd78f87c-aa8a-4df5-8ec2-c7698db0f4bc","2019-09-02 14:02:51.292704+06","2019-09-02 06:00:00+06"
"40241","bcacc441-eab7-4de6-85ed-77f8ee75e312","2019-09-02 14:03:38.406938+06","2019-09-02 06:00:00+06"
"40242","c4041323-e2b2-4d10-8683-4a63da413020","2019-09-02 14:04:02.642005+06","2019-08-28 06:00:00+06"
"40243","8097fa41-a761-47a4-b5aa-50eb115504dd","2019-09-02 14:06:02.71682+06","2019-09-02 06:00:00+06"
"40244","fab21a7f-d08a-49b5-af30-f14cc6b9d628","2019-09-02 14:06:08.783916+06","2019-09-02 06:00:00+06"
"40245","92cbf6fe-474f-4412-b0a5-0f9f793b0e07","2019-09-02 14:07:09.465279+06","2019-09-02 06:00:00+06"
"40246","926bd168-5d2c-4e61-92a5-3ffd4457515b","2019-09-02 14:08:01.076274+06","2019-09-02 06:00:00+06"
"40247","7f0644f3-7e6d-4ac3-be47-99ec2bfff26c","2019-09-02 14:10:35.335325+06","2019-09-02 06:00:00+06"
"40248","c417ff15-2377-47a4-b8d1-7a67fac610e5","2019-09-02 14:11:13.997513+06","2019-09-02 06:00:00+06"
"40249","8c0ecec3-e262-427b-9252-433d76250214","2019-09-02 14:11:51.53243+06","2019-09-02 06:00:00+06"
"40250","4a48bb32-1ab8-4687-b0c5-52352d6c43dd","2019-09-02 14:11:58.291836+06","2019-09-02 06:00:00+06"
"40251","09d5c978-3630-417d-a83d-5fd52e9b9c1e","2019-09-02 14:13:47.135087+06","2019-09-02 06:00:00+06"
"40252","fe46f0ff-d4c2-4c3b-ab35-b0635fa11df8","2019-09-02 14:14:02.839977+06","2019-09-02 06:00:00+06"
"40253","8e69ae60-a4e8-44df-b3d1-9a2315dad1d7","2019-09-02 14:14:47.509868+06","2019-09-02 06:00:00+06"
"40254","02cf86fa-5185-4c0b-a61f-9991d842da6f","2019-09-02 14:16:12.081795+06","2019-09-02 06:00:00+06"
"40255","6b2d9c17-81c2-43f0-b2f2-f5e3347bb0fb","2019-09-02 14:16:41.703637+06","2019-09-02 06:00:00+06"
"40256","8b9afa8c-0940-48f7-b63d-fc7dbab37496","2019-09-02 14:17:01.260042+06","2019-09-02 06:00:00+06"
"40257","a1913751-ba59-4726-854b-786e7c18d583","2019-09-02 14:19:06.474738+06","2019-09-02 06:00:00+06"
"40258","82791d48-4809-4f9e-ae2b-0d0437e81526","2019-09-02 14:26:34.023203+06","2019-09-02 06:00:00+06"
"40259","bc6bd1fd-5a78-436b-9220-1fb0899bf594","2019-09-02 14:35:20.977121+06","2019-09-02 06:00:00+06"
"40260","f638d221-6aea-4536-98ed-0f1c8cd549ad","2019-09-02 14:35:43.083982+06","2019-09-02 06:00:00+06"
"40261","13f80c46-cd69-4682-94eb-22039f1d026f","2019-09-02 14:45:52.978684+06","2019-09-02 06:00:00+06"
"40262","c3f7dcf7-bd0f-4027-abd8-f8c07c82377f","2019-09-02 14:48:09.276273+06","2019-09-02 06:00:00+06"
"40263","74505354-1160-4578-945c-37154810ebd9","2019-09-02 15:12:38.806505+06","2019-09-02 06:00:00+06"
"40264","b03653b9-6202-4859-90d1-8f4804ec98f2","2019-09-02 15:17:15.985508+06","2019-09-02 06:00:00+06"
"40265","14a892a5-f9b3-4620-bb1f-7603df4e9c07","2019-09-02 15:22:59.166626+06","2019-09-02 06:00:00+06"
"40266","e14c1146-2d52-41d5-9b45-f66edca405a6","2019-09-02 15:25:40.528861+06","2019-09-02 06:00:00+06"
"40267","e485e1c5-fcef-4ed5-9bcf-185dd264060d","2019-09-02 15:29:53.550556+06","2019-09-02 06:00:00+06"
"40268","0772217e-3673-4c91-a6a0-f55c968ea67d","2019-09-02 15:34:30.835488+06","2019-08-27 06:00:00+06"
"40269","f4edfbfa-6653-45fd-b81b-2d9587de0b6e","2019-09-02 15:38:19.332811+06","2019-09-01 06:00:00+06"
"40270","423b86d3-ca7a-42e6-9ad3-d201e0f77d6d","2019-09-02 15:39:14.835335+06","2019-09-02 06:00:00+06"
